Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
-275809,2001 QY297,40.008,47.367,5.6,20160113,84.5,123.5,108.8,1.5,0.084,43.688,8,MPO 285402,8/21/2001,807,M. W. Buie
-230965,2004 XA192,35.466,58.979,4.1,20160113,356.4,132.6,328.8,38.1,0.249,47.222,8,MPO 352422,12/12/2004,644,Palomar
-208996,2003 AZ84,32.633,46.648,3.8,20160113,229.5,13.7,252.1,13.6,0.177,39.64,11,MPO 334247,1/13/2003,644,"C. A. Trujillo, M. E. Brow"
-202421,2005 UQ513,36.702,49.686,3.4,20160113,223.9,221.9,307.9,25.7,0.15,43.194,15,MPO 338516,10/21/2005,644,Palomar
-184314,2005 EO302,38.97,51.864,6.3,20160113,317.7,267.4,0.3,5.8,0.142,45.417,4,MPO 136887,3/11/2005,695,M. W. Buie
-183963,2004 DJ64,39.933,49.435,7.2,20160113,320.5,128.6,103.1,2.4,0.106,44.684,5,MPO 273370,2/26/2004,695,M. W. Buie
-183595,2003 TG58,39.849,49.401,6.7,20160113,301.5,234.9,276.9,1.7,0.107,44.625,5,MPO 157328,10/3/2003,568,Mauna Kea
-182934,2002 GJ32,39.494,49.398,5.4,20160113,80.6,256.1,244.8,11.6,0.111,44.446,5,MPO 186770,4/8/2002,807,M. W. Buie
-182926,2002 FU6,39.182,53.009,7.3,20160113,310.9,188.1,55.5,2.2,0.15,46.095,5,MPO 338417,3/20/2002,568,"B. Gladman, J. J. Kavelaar"
-182294,2001 KU76,37.698,52.665,6.6,20160113,354.5,204.3,45,10.6,0.166,45.182,6,MPO 186769,5/24/2001,807,M. W. Buie
-182222,2000 YU1,39.293,47.969,7,20160113,282.8,314.6,207.9,6.1,0.099,43.631,6,MPO 157328,12/16/2000,695,"M. J. Holman, B. Gladman,"
-181871,1999 CO153,40.136,47.739,7.4,20160113,55.5,163.2,278.1,0.8,0.087,43.938,5,MPO 338413,2/12/1999,568,"C. A. Trujillo, J. X. Luu,"
-181868,1999 CG119,35.144,64.836,7.6,20160113,331.3,255.4,304.2,16.7,0.297,49.99,6,MPO 356235,2/11/1999,568,"J. X. Luu, C. A. Trujillo,"
-181855,1998 WT31,37.575,54.492,7.2,20160113,352.5,42.1,41.6,28.7,0.184,46.034,6,MPO 186768,11/18/1998,695,M. W. Buie
-181708,1993 FW,41.641,46.291,7,20160113,351.3,40.2,187.8,7.7,0.053,43.966,8,MPO 136058,3/28/1993,568,"D. C. Jewitt, J. X. Luu"
-175113,2004 PF115,36.071,41.595,4.4,20160113,165.4,84.2,84.6,13.4,0.071,38.833,8,MPO 226985,8/7/2004,644,"M. E. Brown, C. W. Trujill"
(174567) Varda,2003 MW12,39.393,52.206,3.4,20160113,266.9,183,183.9,21.5,0.14,45.8,15,MPO 338384,6/21/2003,691,J. A. Larsen
-169071,2001 FR185,31.782,47.089,8,20160113,338.6,335.3,287.5,5.6,0.194,39.435,4,MPO 127094,3/26/2001,695,M. W. Buie
-168703,2000 GP183,36.821,43.142,6.4,20160113,352,218.5,23.3,4.9,0.079,39.982,5,MPO 338356,4/2/2000,568,Mauna Kea
-168700,2000 GE147,30.271,48.882,8.3,20160113,17.9,50,154.6,5,0.235,39.577,5,MPO 338356,4/2/2000,568,"D. C. Jewitt, C. A. Trujil"
-160256,2002 PD149,39.995,45.583,6.3,20160113,223,40.4,103.6,4.9,0.065,42.789,5,MPO 157319,8/10/2002,807,M. W. Buie
-160147,2001 KN76,39.878,47.909,6.6,20160113,346.9,284,326.7,2.6,0.091,43.893,8,MPO 157319,5/22/2001,807,M. W. Buie
-160091,2000 OL67,40.024,49.777,6.8,20160113,70.1,310.8,322.7,2,0.109,44.901,4,MPO 157319,7/29/2000,807,"M. W. Buie, S. D. Kern"
-150642,2001 CZ31,39.819,51.233,5.8,20160113,338.5,46.2,136.2,10.2,0.125,45.526,9,MPO 338268,2/3/2001,568,C. Veillet
-149349,2002 VA131,32.039,52.43,6.8,20160113,313.2,255.2,224.5,7.1,0.241,42.235,6,MPO 284997,11/9/2002,695,M. W. Buie
-149348,2002 VS130,39.677,50.421,6.3,20160113,56.5,89.4,275.6,3,0.119,45.049,6,MPO 157316,11/7/2002,695,M. W. Buie
(148780) Altjira,2001 UQ18,41.572,46.868,5.7,20160113,124.4,297.6,2,5.2,0.06,44.22,6,MPO 157315,10/20/2001,695,Deep Ecliptic Survey
-148112,1999 RA216,42.015,45.498,7.2,20160113,95.8,80.7,192.1,0.8,0.04,43.757,4,MPO 284993,9/8/1999,568,"C. A. Trujillo, D. C. Jewi"
-145453,2005 RR43,37.275,49.043,4.1,20160113,43.6,279.6,85.9,28.5,0.136,43.159,12,MPO 359745,9/9/2005,705,"A. C. Becker, A. W. Pucket"
-145452,2005 RN43,40.571,42.146,3.9,20160113,338.3,174.9,186.9,19.3,0.019,41.359,19,MPO 348312,9/10/2005,705,"A. C. Becker, A. W. Pucket"
-144897,2004 UX10,37.333,40.472,4.7,20160113,97.7,149.1,148.1,9.5,0.04,38.902,15,MPO 359741,10/20/2004,705,"A. C. Becker, A. W. Pucket"
-143991,2003 YO179,38.384,51.045,5.9,20160113,323.5,65.6,66.9,19.4,0.142,44.715,4,MPO 338234,12/17/2003,568,Mauna Kea
-143751,2003 US292,31.528,52.552,8.6,20160113,15.4,347.1,29.2,7.7,0.25,42.04,4,MPO 338231,10/24/2003,695,M. W. Buie
-143685,2003 SS317,27.866,44.781,8.1,20160113,7.7,197.8,177.7,5.9,0.233,36.324,6,MPO 338231,9/25/2003,568,Mauna Kea
-139775,2001 QG298,31.759,46.645,7.2,20160113,7.4,209.3,162.6,6.5,0.19,39.202,7,MPO 200161,8/19/2001,807,M. W. Buie
-138628,2000 QM251,32.752,56.334,7.1,20160113,45.8,313.1,355.7,15.7,0.265,44.543,8,MPO 157310,8/25/2000,807,M. W. Buie
-138537,2000 OK67,40.025,52.56,6.2,20160113,351.9,359.4,4.3,4.9,0.135,46.292,7,MPO 351829,7/29/2000,807,"M. W. Buie, S. D. Kern"
-137295,1999 RB216,33.641,61.013,7.4,20160113,1.8,208.9,175.8,12.7,0.289,47.327,9,MPO 338191,9/8/1999,568,"C. A. Trujillo, D. C. Jewi"
-137294,1999 RE215,40.002,49.556,6.7,20160113,76.1,111.4,149.3,1.4,0.107,44.779,6,MPO 176698,9/7/1999,568,"C. A. Trujillo, J. X. Luu,"
(136472) Makemake,2005 FY9,38.696,52.818,-0.3,20160113,158.1,296.9,79.5,29,0.154,45.757,19,MPO 359696,3/31/2005,644,"M. E. Brown, C. A. Trujill"
(136108) Haumea,2003 EL61,35.101,51.512,0.1,20160113,211.1,239.6,121.8,28.2,0.189,43.307,22,MPO 359694,3/7/2003,J86,Sierra Nevada
-135742,2002 PB171,38.05,48.863,7.3,20160113,68.8,287.3,336.8,5.5,0.124,43.457,4,MPO 102879,8/5/2002,568,Mauna Kea
-135182,2001 QT322,36.223,37.645,6.2,20160113,105.9,41.7,224.2,1.8,0.019,36.934,6,MPO 186653,8/21/2001,807,M. W. Buie
-135024,2001 KO76,39.064,48.53,6.9,20160113,269,296.5,44.2,2.1,0.108,43.797,7,MPO 341424,5/23/2001,807,M. W. Buie
-134860,2000 OJ67,41.741,43.596,6.1,20160113,102.2,139,96.8,1.1,0.022,42.669,8,MPO 254080,7/29/2000,807,"M. W. Buie, S. D. Kern"
-134568,1999 RH215,37.099,49.741,8.1,20160113,25.4,57.2,276.8,10.2,0.146,43.42,4,MPO 157307,9/7/1999,568,"C. A. Trujillo, D. C. Jewi"
(134340) Pluto,,29.607,49.449,-0.8,20160113,38.2,113.5,110.3,17.2,0.251,39.528,90,MPO 356019,1/23/1930,690,C. W. Tombaugh
-133067,2003 FB128,29.41,50.15,6.8,20160113,50.8,305.8,209.4,8.9,0.261,39.78,5,MPO 338165,3/30/2003,695,M. W. Buie
-131697,2001 XH255,32.339,37.907,8.2,20160113,318.5,217.9,323.2,2.9,0.079,35.123,5,MPO 273203,12/11/2001,568,"J. Kleyna, S. S. Sheppard,"
-131695,2001 XS254,35.329,39.504,7.7,20160113,24.1,9,94.7,4.3,0.056,37.416,5,MPO 137902,12/9/2001,568,"S. S. Sheppard, J. Kleyna,"
-131318,2001 FL194,32.506,46.737,7.8,20160113,26.7,172,2,13.7,0.18,39.621,5,MPO 341414,3/22/2001,695,Kitt Peak
-130391,2000 JG81,34.128,61.132,8,20160113,21.3,169.5,45.9,23.4,0.283,47.63,5,MPO 157305,5/6/2000,809,La Silla
-129772,1999 HR11,42.171,45.677,7.2,20160113,3,126.2,83.3,3.3,0.04,43.924,6,MPO 359647,4/17/1999,695,Kitt Peak
-129746,1999 CE119,28.757,50.462,8.4,20160113,5.5,34.7,171.5,1.5,0.274,39.609,4,MPO 338151,2/10/1999,568,"J. X. Luu, C. A. Trujillo,"
-127871,2003 FC128,32.061,38.283,7,20160113,57.7,41.7,78.5,2.4,0.088,35.172,6,MPO 273191,3/31/2003,695,M. W. Buie
